Airline,Source,Destination,Total_Stops,Additional_Info,Price,Date_of_Journey_day,Date_of_Journey_month,Date_of_Journey_weekday,Date_of_Journey_hour,Date_of_Journey_minute,Route_stops,Dep_Time_minutes,Arrival_Time_minutes,Duration_minutes
Multiple carriers,Delhi,Cochin,1 stop,No info,7787,21,5,1,0,0,2.0,400.0,1155,755
IndiGo,Delhi,Cochin,1 stop,No info,9257,3,3,6,0,0,2.0,120.0,465,345
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4030,12,5,6,0,0,1.0,1135.0,1320,185
SpiceJet,Banglore,Delhi,non-stop,No info,4991,3,5,4,0,0,1.0,1270.0,5,175
IndiGo,Delhi,Cochin,1 stop,No info,9861,21,3,3,0,0,2.0,450.0,800,350
IndiGo,Banglore,New Delhi,1 stop,No info,10406,15,3,4,0,0,2.0,1010.0,1295,285
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,7229,9,6,6,0,0,1.0,915.0,1090,175
Multiple carriers,Delhi,Cochin,1 stop,No info,7670,15,5,2,0,0,2.0,525.0,1260,735
Jet Airways,Delhi,Cochin,2 stops,No info,14300,24,6,0,0,0,3.0,1200.0,265,505
Vistara,Kolkata,Banglore,1 stop,No info,8452,15,5,2,0,0,2.0,430.0,645,1655
SpiceJet,Kolkata,Banglore,non-stop,No info,3873,6,4,5,0,0,1.0,895.0,1045,150
SpiceJet,Kolkata,Banglore,1 stop,No info,6853,9,6,6,0,0,2.0,515.0,1035,520
Jet Airways,Banglore,Delhi,non-stop,No info,7229,6,4,5,0,0,1.0,670.0,845,175
Jet Airways,Banglore,Delhi,non-stop,No info,7229,15,4,0,0,0,1.0,1190.0,1370,180
Jet Airways,Delhi,Cochin,1 stop,No info,14714,3,6,0,0,0,2.0,1155.0,755,1040
IndiGo,Kolkata,Banglore,non-stop,No info,4804,12,6,2,0,0,1.0,1035.0,1190,155
IndiGo,Kolkata,Banglore,1 stop,No info,11465,9,5,3,0,0,2.0,560.0,855,295
IndiGo,Banglore,Delhi,non-stop,No info,4591,21,4,6,0,0,1.0,1410.0,140,170
IndiGo,Delhi,Cochin,1 stop,No info,6628,9,6,6,0,0,2.0,555.0,90,975
IndiGo,Delhi,Cochin,1 stop,No info,8025,6,3,2,0,0,2.0,120.0,465,345
Air Asia,Delhi,Cochin,1 stop,No info,6152,12,6,2,0,0,2.0,475.0,945,470
IndiGo,Banglore,Delhi,non-stop,No info,3943,3,4,2,0,0,1.0,610.0,780,170
Vistara,Kolkata,Banglore,1 stop,No info,9187,6,6,3,0,0,2.0,430.0,645,1655
Vistara,Kolkata,Banglore,1 stop,No info,9187,21,5,1,0,0,2.0,1220.0,645,865
Air India,Kolkata,Banglore,2 stops,No info,15164,1,5,2,0,0,3.0,600.0,825,1665
Multiple carriers,Delhi,Cochin,1 stop,No info,10276,6,3,2,0,0,2.0,585.0,970,385
Multiple carriers,Delhi,Cochin,1 stop,No info,12192,1,6,5,0,0,2.0,230.0,1140,910
Air Asia,Kolkata,Banglore,1 stop,No info,5554,24,3,6,0,0,2.0,1195.0,1410,215
Air India,Delhi,Cochin,1 stop,No info,6377,27,3,2,0,0,2.0,420.0,1155,735
IndiGo,Delhi,Cochin,1 stop,No info,6232,21,3,3,0,0,2.0,1230.0,95,305
IndiGo,Delhi,Cochin,1 stop,No info,6496,9,5,3,0,0,2.0,310.0,605,295
IndiGo,Banglore,Delhi,non-stop,No info,4823,24,6,0,0,0,1.0,1095.0,1280,185
IndiGo,Kolkata,Banglore,1 stop,No info,6116,6,6,3,0,0,2.0,1175.0,1395,220
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,7757,9,5,3,0,0,2.0,1200.0,1095,1335
Multiple carriers,Delhi,Cochin,1 stop,No info,8266,21,5,1,0,0,2.0,525.0,1155,630
SpiceJet,Kolkata,Banglore,non-stop,No info,3873,21,5,1,0,0,1.0,415.0,570,155
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,11841,15,5,2,0,0,2.0,1270.0,605,775
IndiGo,Kolkata,Banglore,non-stop,No info,4804,24,5,4,0,0,1.0,930.0,1085,155
IndiGo,Banglore,Delhi,non-stop,No info,3943,1,6,5,0,0,1.0,610.0,780,170
Multiple carriers,Delhi,Cochin,1 stop,No info,15898,27,5,0,0,0,2.0,690.0,1155,465
Jet Airways,Kolkata,Banglore,1 stop,No info,14151,15,5,2,0,0,2.0,1020.0,1265,1685
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10577,9,6,6,0,0,2.0,960.0,265,745
Air India,Banglore,Delhi,non-stop,No info,4441,3,4,2,0,0,1.0,370.0,535,165
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,5177,6,4,5,0,0,2.0,690.0,755,1505
Air India,Kolkata,Banglore,non-stop,No info,4460,1,4,0,0,0,1.0,1245.0,1400,155
Multiple carriers,Delhi,Cochin,1 stop,No info,13727,18,5,5,0,0,2.0,480.0,1260,780
Jet Airways,Delhi,Cochin,1 stop,No info,14714,3,6,0,0,0,2.0,960.0,755,1235
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,10588,6,6,3,0,0,3.0,1285.0,1140,1295
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,7438,21,3,3,0,0,2.0,540.0,1130,590
Air India,Delhi,Cochin,1 stop,No info,12677,6,3,2,0,0,2.0,1240.0,565,765
Jet Airways,Delhi,Cochin,1 stop,No info,14714,6,6,3,0,0,2.0,1095.0,1140,1485
IndiGo,Mumbai,Hyderabad,non-stop,No info,2754,24,6,0,0,0,1.0,720.0,810,90
IndiGo,Delhi,Cochin,2 stops,No info,6494,21,3,3,0,0,3.0,455.0,1280,825
IndiGo,Banglore,New Delhi,1 stop,No info,5607,15,3,4,0,0,2.0,975.0,1235,260
Jet Airways,Banglore,New Delhi,1 stop,No info,25735,1,3,4,0,0,2.0,1370.0,1280,1350
IndiGo,Banglore,Delhi,non-stop,No info,4823,3,5,4,0,0,1.0,430.0,605,175
Air India,Mumbai,Hyderabad,non-stop,No info,2050,21,3,3,0,0,1.0,1265.0,1345,80
Air India,Banglore,New Delhi,1 stop,No info,12127,12,3,1,0,0,2.0,530.0,1395,865
Multiple carriers,Delhi,Cochin,1 stop,No info,13377,12,6,2,0,0,2.0,1095.0,90,435
Jet Airways,Banglore,Delhi,non-stop,No info,7229,6,5,0,0,0,1.0,1190.0,1370,180
Vistara,Delhi,Cochin,non-stop,No info,6216,24,4,2,0,0,1.0,360.0,550,190
Air India,Delhi,Cochin,non-stop,No info,8456,9,6,6,0,0,1.0,1085.0,1270,185
Jet Airways,Delhi,Cochin,2 stops,No info,15129,18,5,5,0,0,3.0,1150.0,755,1045
Jet Airways,Banglore,New Delhi,1 stop,No info,13817,12,3,1,0,0,2.0,1015.0,460,885
GoAir,Delhi,Cochin,1 stop,No info,6296,6,5,0,0,0,2.0,445.0,815,370
Air India,Kolkata,Banglore,non-stop,No info,5170,21,3,3,0,0,1.0,855.0,1005,150
SpiceJet,Banglore,Delhi,non-stop,No check-in baggage included,3919,24,5,4,0,0,1.0,1270.0,5,175
IndiGo,Banglore,Delhi,non-stop,No info,4823,3,4,2,0,0,1.0,430.0,605,175
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,24,6,0,0,0,2.0,600.0,265,1105
Jet Airways,Delhi,Cochin,2 stops,No info,13882,9,6,6,0,0,3.0,845.0,755,1350
Multiple carriers,Delhi,Cochin,1 stop,No info,13587,6,6,3,0,0,2.0,780.0,1260,480
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,11848,9,3,5,0,0,2.0,20.0,265,1685
Air India,Mumbai,Hyderabad,1 stop,No info,11678,6,3,2,0,0,2.0,600.0,1425,825
IndiGo,Banglore,Delhi,non-stop,No info,4823,18,5,5,0,0,1.0,1105.0,1280,175
SpiceJet,Banglore,Delhi,non-stop,No check-in baggage included,3919,15,4,0,0,0,1.0,1270.0,5,175
Vistara,Chennai,Kolkata,non-stop,No info,11982,12,6,2,0,0,1.0,1065.0,1205,140
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10703,1,5,2,0,0,2.0,575.0,1080,505
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,18,5,5,0,0,2.0,1135.0,1415,1720
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,15,5,2,0,0,2.0,1135.0,1190,1495
IndiGo,Mumbai,Hyderabad,non-stop,No info,3175,27,6,3,0,0,1.0,1015.0,1105,90
Air India,Delhi,Cochin,1 stop,No info,9929,1,6,5,0,0,2.0,480.0,1155,675
Jet Airways,Banglore,New Delhi,1 stop,No info,19225,6,3,2,0,0,2.0,845.0,1150,305
SpiceJet,Mumbai,Hyderabad,non-stop,No info,2017,24,5,4,0,0,1.0,345.0,435,90
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,7832,21,3,3,0,0,2.0,700.0,735,1475
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,1,5,2,0,0,2.0,390.0,560,1610
Multiple carriers,Delhi,Cochin,1 stop,No info,7005,9,6,6,0,0,2.0,700.0,1260,560
IndiGo,Mumbai,Hyderabad,non-stop,No info,3175,12,5,6,0,0,1.0,155.0,245,90
Air India,Kolkata,Banglore,1 stop,No info,5006,1,4,0,0,0,2.0,875.0,920,1485
Multiple carriers,Delhi,Cochin,1 stop,No info,9526,15,6,5,0,0,2.0,525.0,1155,630
Jet Airways,Delhi,Cochin,2 stops,No info,13292,6,6,3,0,0,3.0,330.0,1140,810
IndiGo,Delhi,Cochin,1 stop,No info,6058,9,5,3,0,0,2.0,1310.0,215,345
Air India,Delhi,Cochin,3 stops,No info,10493,24,6,0,0,0,4.0,315.0,460,1585
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,9,6,6,0,0,2.0,990.0,1355,365
Jet Airways,Kolkata,Banglore,1 stop,No info,10953,1,4,0,0,0,2.0,575.0,1265,690
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,21,5,1,0,0,2.0,1200.0,720,960
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10539,6,6,3,0,0,2.0,1225.0,585,800
Jet Airways,Delhi,Cochin,2 stops,No info,13292,15,6,5,0,0,3.0,330.0,265,1375
Vistara,Delhi,Cochin,non-stop,No info,6741,18,5,5,0,0,1.0,360.0,550,190
Jet Airways,Kolkata,Banglore,1 stop,No info,14571,6,6,3,0,0,2.0,1200.0,560,800
Jet Airways,Kolkata,Banglore,1 stop,No info,14781,9,5,3,0,0,2.0,505.0,1095,590
IndiGo,Mumbai,Hyderabad,non-stop,No info,3838,18,5,5,0,0,1.0,1015.0,1105,90
Air India,Delhi,Cochin,non-stop,No info,5201,18,6,1,0,0,1.0,845.0,1075,230
Air Asia,Delhi,Cochin,1 stop,No info,8759,9,6,6,0,0,2.0,475.0,945,470
GoAir,Delhi,Cochin,1 stop,No info,6195,24,4,2,0,0,2.0,420.0,775,355
Air India,Mumbai,Hyderabad,non-stop,No info,3100,15,3,4,0,0,1.0,1170.0,1245,75
SpiceJet,Delhi,Cochin,1 stop,No info,5975,18,5,5,0,0,2.0,1075.0,1370,295
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,9,6,6,0,0,2.0,845.0,1415,570
Jet Airways,Delhi,Cochin,1 stop,No info,16079,27,5,0,0,0,2.0,1255.0,265,450
SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3543,27,5,0,0,0,1.0,500.0,635,135
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841,3,5,4,0,0,1.0,1030.0,1180,150
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,15,6,5,0,0,2.0,1155.0,755,1040
Jet Airways,Kolkata,Banglore,1 stop,No info,12692,12,6,2,0,0,2.0,575.0,1415,840
IndiGo,Chennai,Kolkata,non-stop,No info,3850,1,6,5,0,0,1.0,475.0,615,140
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,18,5,5,0,0,2.0,480.0,265,1225
Air India,Mumbai,Hyderabad,non-stop,No info,3100,21,3,3,0,0,1.0,835.0,925,90
Vistara,Banglore,Delhi,non-stop,No info,4878,18,5,5,0,0,1.0,1170.0,1335,165
Jet Airways,Delhi,Cochin,2 stops,No info,15129,9,5,3,0,0,3.0,1150.0,1140,1430
Multiple carriers Premium economy,Delhi,Cochin,1 stop,No info,9845,21,3,3,0,0,2.0,535.0,1260,725
IndiGo,Banglore,Delhi,non-stop,No info,4077,1,5,2,0,0,1.0,90.0,255,165
Multiple carriers,Delhi,Cochin,1 stop,No info,9315,21,5,1,0,0,2.0,450.0,1140,690
Jet Airways,Kolkata,Banglore,1 stop,No info,14781,9,5,3,0,0,2.0,845.0,1415,570
Air India,Mumbai,Hyderabad,2 stops,No info,17327,6,3,2,0,0,3.0,1010.0,1015,5
Air India,Banglore,New Delhi,non-stop,No info,9481,9,3,5,0,0,1.0,1020.0,1190,170
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,8938,27,3,2,0,0,3.0,310.0,1185,2315
Jet Airways,Kolkata,Banglore,1 stop,No info,14388,9,5,3,0,0,2.0,390.0,720,330
Air India,Delhi,Cochin,1 stop,No info,5704,21,3,3,0,0,2.0,1230.0,1380,1590
GoAir,Banglore,Delhi,non-stop,No info,3898,9,6,6,0,0,1.0,465.0,640,175
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678,27,3,2,0,0,1.0,175.0,265,90
IndiGo,Delhi,Cochin,1 stop,No info,6937,9,3,5,0,0,2.0,455.0,720,265
IndiGo,Mumbai,Hyderabad,non-stop,No info,2754,21,3,3,0,0,1.0,1145.0,1230,85
SpiceJet,Mumbai,Hyderabad,non-stop,No check-in baggage included,2647,15,3,4,0,0,1.0,1365.0,10,85
IndiGo,Kolkata,Banglore,1 stop,No info,4226,21,5,1,0,0,2.0,380.0,620,240
GoAir,Banglore,Delhi,non-stop,No info,4239,18,5,5,0,0,1.0,465.0,640,175
IndiGo,Delhi,Cochin,1 stop,No info,9165,27,6,3,0,0,2.0,1410.0,275,305
Jet Airways,Banglore,New Delhi,non-stop,No info,18308,1,3,4,0,0,1.0,1195.0,1355,160
Multiple carriers,Delhi,Cochin,1 stop,No info,14486,21,3,3,0,0,2.0,425.0,930,505
Air Asia,Banglore,Delhi,non-stop,No info,4282,9,4,1,0,0,1.0,295.0,465,170
Multiple carriers,Delhi,Cochin,1 stop,No info,13587,27,6,3,0,0,2.0,480.0,1260,780
Multiple carriers,Delhi,Cochin,1 stop,No info,13587,3,6,0,0,0,2.0,690.0,1260,570
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,6645,27,3,2,0,0,2.0,480.0,265,1225
SpiceJet,Banglore,Delhi,non-stop,No info,4423,15,4,0,0,0,1.0,355.0,515,160
Air India,Banglore,New Delhi,2 stops,No info,11518,18,3,0,0,0,3.0,1045.0,1405,1800
Jet Airways,Kolkata,Banglore,1 stop,No info,13759,24,3,6,0,0,2.0,835.0,285,890
SpiceJet,Banglore,Delhi,non-stop,No info,3625,18,6,1,0,0,1.0,355.0,515,160
IndiGo,Kolkata,Banglore,non-stop,No info,4148,15,3,4,0,0,1.0,330.0,500,170
Vistara,Banglore,Delhi,non-stop,No info,5613,24,4,2,0,0,1.0,1020.0,1175,155
Air India,Kolkata,Banglore,2 stops,No info,14298,6,5,0,0,0,3.0,600.0,600,1440
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,7832,21,3,3,0,0,2.0,480.0,1280,800
IndiGo,Delhi,Cochin,1 stop,No info,6442,21,5,1,0,0,2.0,515.0,1090,575
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678,1,4,0,0,0,1.0,175.0,260,85
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,7064,1,4,0,0,0,2.0,1135.0,280,585
Jet Airways,Kolkata,Banglore,1 stop,No info,14151,18,5,5,0,0,2.0,1020.0,585,1005
GoAir,Banglore,Delhi,non-stop,No info,3419,24,6,0,0,0,1.0,1255.0,1420,165
Jet Airways,Delhi,Cochin,1 stop,No info,15554,9,3,5,0,0,2.0,1045.0,265,660
Air India,Banglore,New Delhi,1 stop,No info,13859,18,3,0,0,0,2.0,30.0,525,495
SpiceJet,Kolkata,Banglore,non-stop,No info,3847,15,3,4,0,0,1.0,1340.0,40,140
GoAir,Banglore,New Delhi,1 stop,No info,7657,9,3,5,0,0,2.0,950.0,1215,265
Air India,Delhi,Cochin,2 stops,No info,13547,9,5,3,0,0,3.0,425.0,460,1475
Jet Airways,Banglore,Delhi,non-stop,No info,7229,27,5,0,0,0,1.0,430.0,610,180
Jet Airways,Delhi,Cochin,2 stops,No info,13376,15,6,5,0,0,3.0,405.0,265,1300
IndiGo,Mumbai,Hyderabad,non-stop,No info,2227,18,6,1,0,0,1.0,1205.0,1300,95
SpiceJet,Banglore,Delhi,non-stop,No info,3971,21,6,4,0,0,1.0,355.0,515,160
IndiGo,Delhi,Cochin,1 stop,No info,6628,27,6,3,0,0,2.0,555.0,90,975
Jet Airways,Kolkata,Banglore,1 stop,No info,13584,6,5,0,0,0,2.0,1270.0,605,775
SpiceJet,Kolkata,Banglore,non-stop,No info,4148,21,3,3,0,0,1.0,415.0,575,160
Jet Airways,Kolkata,Banglore,1 stop,No info,14571,9,6,6,0,0,2.0,390.0,1095,705
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841,21,5,1,0,0,1.0,1340.0,40,140
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,5198,12,4,4,0,0,1.0,360.0,525,165
Air Asia,Banglore,Delhi,non-stop,No info,3383,24,4,2,0,0,1.0,295.0,465,170
Jet Airways,Delhi,Cochin,non-stop,In-flight meal not included,7202,6,6,3,0,0,1.0,660.0,855,195
IndiGo,Delhi,Cochin,non-stop,No info,5021,3,4,2,0,0,1.0,1265.0,20,195
GoAir,Banglore,Delhi,non-stop,No info,4239,3,5,4,0,0,1.0,1255.0,1420,165
Jet Airways,Delhi,Cochin,2 stops,No info,15129,27,5,0,0,0,3.0,1170.0,755,1025
Vistara,Banglore,New Delhi,non-stop,No info,21520,1,3,4,0,0,1.0,420.0,580,160
IndiGo,Delhi,Cochin,non-stop,No info,7673,3,3,6,0,0,1.0,335.0,530,195
IndiGo,Banglore,Delhi,non-stop,No info,4823,18,6,1,0,0,1.0,1200.0,1370,170
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,15190,1,6,5,0,0,2.0,425.0,1140,715
Jet Airways,Kolkata,Banglore,1 stop,No info,14781,18,5,5,0,0,2.0,505.0,1355,850
IndiGo,Kolkata,Banglore,non-stop,No info,4804,18,5,5,0,0,1.0,930.0,1085,155
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,1,6,5,0,0,2.0,780.0,755,1415
IndiGo,Delhi,Cochin,1 stop,No info,7503,15,5,2,0,0,2.0,555.0,1260,705
Jet Airways,Banglore,Delhi,non-stop,No info,8016,15,6,5,0,0,1.0,670.0,845,175
IndiGo,Mumbai,Hyderabad,non-stop,No info,4049,9,6,6,0,0,1.0,385.0,475,90
Air India,Banglore,New Delhi,1 stop,No info,12389,3,3,6,0,0,2.0,350.0,775,425
SpiceJet,Chennai,Kolkata,non-stop,No info,3597,12,5,6,0,0,1.0,1065.0,1205,140
Multiple carriers,Delhi,Cochin,1 stop,No info,13727,15,5,2,0,0,2.0,690.0,90,840
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678,1,5,2,0,0,1.0,175.0,260,85
Multiple carriers,Delhi,Cochin,1 stop,No info,7670,9,5,3,0,0,2.0,620.0,1260,640
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,18,5,5,0,0,2.0,845.0,1415,570
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,7064,1,4,0,0,0,2.0,990.0,1095,1545
Multiple carriers,Delhi,Cochin,1 stop,No info,8930,3,6,0,0,0,2.0,540.0,1260,720
Air Asia,Banglore,Delhi,non-stop,No info,4282,1,4,0,0,0,1.0,295.0,465,170
IndiGo,Banglore,Delhi,non-stop,No info,4823,21,6,4,0,0,1.0,510.0,680,170
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,9,5,3,0,0,2.0,425.0,265,1280
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,9,3,5,0,0,2.0,420.0,1220,800
Jet Airways,Delhi,Cochin,1 stop,No info,16079,3,6,0,0,0,2.0,1310.0,265,395
IndiGo,Delhi,Cochin,non-stop,No info,5601,12,6,2,0,0,1.0,335.0,530,195
SpiceJet,Mumbai,Hyderabad,non-stop,No info,2753,9,6,6,0,0,1.0,345.0,435,90
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,27,6,3,0,0,2.0,1370.0,265,335
Multiple carriers,Delhi,Cochin,1 stop,No info,15603,6,3,2,0,0,2.0,780.0,1260,480
IndiGo,Kolkata,Banglore,non-stop,No info,4174,12,4,4,0,0,1.0,575.0,740,165
IndiGo,Banglore,New Delhi,non-stop,No info,6144,24,3,6,0,0,1.0,1200.0,1375,175
Jet Airways,Kolkata,Banglore,1 stop,No info,14781,6,5,0,0,0,2.0,505.0,1095,590
IndiGo,Delhi,Cochin,1 stop,No info,6195,15,6,5,0,0,2.0,1310.0,215,345
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8586,6,5,0,0,0,2.0,390.0,495,1545
IndiGo,Banglore,New Delhi,non-stop,No info,11934,1,3,4,0,0,1.0,1340.0,70,170
Air India,Kolkata,Banglore,2 stops,No info,14424,15,5,2,0,0,3.0,420.0,325,1345
Jet Airways,Delhi,Cochin,1 stop,No info,18581,24,6,0,0,0,2.0,425.0,1140,715
Jet Airways,Kolkata,Banglore,1 stop,No info,13941,12,5,6,0,0,2.0,1270.0,280,450
Jet Airways,Banglore,Delhi,non-stop,No info,7229,6,5,0,0,0,1.0,1135.0,1320,185
SpiceJet,Kolkata,Banglore,non-stop,No info,3873,15,5,2,0,0,1.0,415.0,570,155
Jet Airways,Delhi,Cochin,1 stop,No info,14714,12,6,2,0,0,2.0,690.0,1140,450
Air Asia,Kolkata,Banglore,2 stops,No info,11245,24,3,6,0,0,3.0,925.0,1375,450
IndiGo,Delhi,Cochin,1 stop,No info,6104,27,5,0,0,0,2.0,685.0,90,845
IndiGo,Delhi,Cochin,1 stop,No info,7094,6,3,2,0,0,2.0,455.0,1340,885
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10031,24,3,6,0,0,2.0,390.0,285,1335
Jet Airways,Kolkata,Banglore,1 stop,No info,13941,18,5,5,0,0,2.0,345.0,720,375
Multiple carriers,Delhi,Cochin,1 stop,No info,7198,24,6,0,0,0,2.0,1140.0,90,390
SpiceJet,Banglore,New Delhi,non-stop,No check-in baggage included,3873,24,3,6,0,0,1.0,575.0,750,175
Air India,Kolkata,Banglore,non-stop,No info,5747,12,3,1,0,0,1.0,855.0,1005,150
Air India,Mumbai,Hyderabad,non-stop,No info,3100,15,6,5,0,0,1.0,1170.0,1245,75
Air India,Kolkata,Banglore,1 stop,No info,8996,6,5,0,0,0,2.0,550.0,795,245
Multiple carriers,Delhi,Cochin,1 stop,No info,9103,15,5,2,0,0,2.0,635.0,1140,505
Jet Airways,Banglore,New Delhi,1 stop,1 Long layover,31825,1,3,4,0,0,2.0,1120.0,570,890
Jet Airways,Kolkata,Banglore,1 stop,No info,14781,15,5,2,0,0,2.0,990.0,605,1055
Jet Airways,Banglore,Delhi,non-stop,No info,7229,18,5,5,0,0,1.0,500.0,680,180
IndiGo,Banglore,New Delhi,non-stop,No info,10067,1,3,4,0,0,1.0,1410.0,140,170
Jet Airways,Delhi,Cochin,2 stops,No info,10909,9,4,1,0,0,3.0,580.0,265,1125
IndiGo,Kolkata,Banglore,non-stop,No info,4804,27,4,5,0,0,1.0,930.0,1085,155
Jet Airways,Mumbai,Hyderabad,non-stop,In-flight meal not included,4050,1,6,5,0,0,1.0,175.0,260,85
Jet Airways,Kolkata,Banglore,1 stop,No info,14151,15,5,2,0,0,2.0,1225.0,1415,1630
SpiceJet,Kolkata,Banglore,non-stop,No check-in baggage included,3841,1,6,5,0,0,1.0,415.0,570,155
Jet Airways,Kolkata,Banglore,1 stop,No info,14781,9,5,3,0,0,2.0,845.0,1190,345
Vistara,Kolkata,Banglore,1 stop,No info,9870,9,6,6,0,0,2.0,1020.0,1405,385
Air India,Delhi,Cochin,1 stop,No info,8907,27,5,0,0,0,2.0,810.0,1380,570
Jet Airways,Banglore,New Delhi,1 stop,No info,26890,1,3,4,0,0,2.0,1370.0,460,530
GoAir,Delhi,Cochin,1 stop,No info,6195,15,4,0,0,0,2.0,420.0,775,355
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,7832,21,3,3,0,0,2.0,845.0,1150,305
Multiple carriers Premium economy,Delhi,Cochin,1 stop,No info,11269,21,3,3,0,0,2.0,535.0,930,395
Vistara,Banglore,New Delhi,non-stop,No info,5613,24,3,6,0,0,1.0,960.0,1115,155
IndiGo,Banglore,Delhi,non-stop,No info,4284,1,5,2,0,0,1.0,30.0,205,175
Vistara,Banglore,Delhi,non-stop,No info,4668,6,5,0,0,0,1.0,1260.0,1430,170
Air India,Delhi,Cochin,1 stop,No info,15197,3,3,6,0,0,2.0,480.0,1155,675
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9899,12,6,2,0,0,2.0,505.0,980,475
GoAir,Delhi,Cochin,1 stop,No info,3948,27,6,3,0,0,2.0,635.0,1175,540
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,10405,15,3,4,0,0,2.0,535.0,495,1400
Multiple carriers,Delhi,Cochin,3 stops,No info,15419,9,6,6,0,0,4.0,695.0,90,835
Multiple carriers,Delhi,Cochin,1 stop,No info,15135,3,3,6,0,0,2.0,505.0,1130,625
Multiple carriers Premium economy,Delhi,Cochin,1 stop,No info,13369,21,3,3,0,0,2.0,360.0,755,395
Jet Airways,Delhi,Cochin,2 stops,No info,18804,27,6,3,0,0,3.0,700.0,1140,440
Air Asia,Delhi,Cochin,1 stop,No info,6751,9,5,3,0,0,2.0,1245.0,430,625
Air India,Kolkata,Banglore,1 stop,No info,10203,9,5,3,0,0,2.0,1230.0,535,745
Jet Airways,Banglore,New Delhi,1 stop,No info,27992,1,3,4,0,0,2.0,420.0,1280,860
Air India,Delhi,Cochin,2 stops,No info,12488,12,6,2,0,0,3.0,430.0,1155,725
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,5198,12,4,4,0,0,1.0,430.0,610,180
Jet Airways,Banglore,Delhi,non-stop,No info,7229,1,5,2,0,0,1.0,1065.0,1245,180
Air India,Kolkata,Banglore,2 stops,No info,12723,12,6,2,0,0,3.0,350.0,1395,1045
Air India,Mumbai,Hyderabad,2 stops,No info,13169,6,3,2,0,0,3.0,360.0,550,1630
Air India,Kolkata,Banglore,2 stops,No info,8366,15,5,2,0,0,3.0,565.0,1100,535
Multiple carriers,Delhi,Cochin,1 stop,No info,7670,9,5,3,0,0,2.0,360.0,1260,900
Jet Airways,Banglore,Delhi,non-stop,No info,7229,1,4,0,0,0,1.0,360.0,525,165
Vistara,Banglore,Delhi,non-stop,No info,4668,1,6,5,0,0,1.0,1260.0,1430,170
Air Asia,Delhi,Cochin,1 stop,No info,8327,9,3,5,0,0,2.0,1210.0,430,660
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,21,5,1,0,0,2.0,1255.0,755,940
IndiGo,Kolkata,Banglore,1 stop,No info,4226,6,5,0,0,0,2.0,380.0,620,240
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,27,6,3,0,0,2.0,1155.0,1140,1425
